id,genetics,species,finalCultivar,synonym,isConfirmed,use,country,genotypes,tree_tag_id,propertyOwner,treeSiteLocation,treeLatitude,treeLongitude,treeHeight,treeDripLine,trunkDiameter,fireBlight,fruitHanging
442,NA,NA,NA,NA,NA,NA,NA,NA,442,NA,Silver Ditch,40.03375,-105.29241,NA,NA,NA,NA,NA
445,Malus,domestica,McIntosh Summerland Red,NA,NA,cider,Canada,2968,445,private ,5132,39.9964315,-105.2683115,40,26.83,15.0625,0,11-100
446,NA,NA,NA,NA,NA,NA,NA,NA,446,private ,340 17th St ,39.9964053,-105.2709777,30,31,16.5,1,101-1000
447,Malus,domestica,Golden Delicious,NA,NA,NA,NA,3026,447,private ,4672,39.9964785,-105.2718658,30,23.4167,12.375,1,101-1000
448,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,448,private ,345 17th st ,39.9965,-105.2719,25,18,16.5,1,0-2
449,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,449,public,309 Morning Glory Dr,39.9977812,-105.281741,NA,27.6,10.5,0,11-100
450,Malus,domestica,Hua Guan,NA,NA,NA,China,1054,450,public,505 Chautauqua Trail ,39.9969591,-105.2817139,27,36,14.265625,1,3-10
451,NA,NA,NA,NA,NA,NA,NA,NA,451,public,810 Boggess Circle,39.9956396,-105.2823556,20,25.583,13.25,0,101-1000
460,NA,NA,NA,NA,NA,NA,NA,NA,460,private ,Tolbert House,40.0382955,-105.290708,22,26,9.25,1,101-1000
461,NA,NA,NA,NA,NA,NA,NA,NA,461,private ,Tolbert House,40.0382896,-105.2906513,28,24.6,10.25,1,101-1000
462,NA,NA,UNK-UW/FOCO(574 &595) & Kanin Routson,NA,NA,NA,NA,NA,462,private ,Tolbert House,40.0383322,-105.2907247,34,26.67,14.5,1,1001-10000
463,NA,NA,NA,NA,U,NA,NA,NA,463,NA,Tolberts',40.0385534,-105.2906537,NA,NA,NA,NA,NA
464,Malus,domestica,Ben Davis,"New York Pippin, Kentucky Red",NA,"dessert, cider",United States,3136,464,private ,Tolbert House,40.0387955,-105.2907113,28,28.67,12.6875,1,0
465,NA,NA,NA,NA,C,NA,NA,NA,465,public,Hawthorne edge of Silver Lake,40.0349209,-105.292668,30,19,9.25,0,NA
466,Malus,domestica,King David,NA,NA,"dessert, cooking, cider",United States,3181,466,private ,2206 Nicholl St.,40.028165,-105.269129,40,36,24.75,1,101-1000
467,NA,NA,NA,NA,NA,NA,NA,NA,467,private ,2206 Nicholl St.,40.028204,-105.269379,35,29,19.25,0,1001-10000
468,NA,NA,NA,NA,NA,NA,NA,NA,468,NA,Zapf Property,40.188585,-105.204325,NA,NA,NA,NA,NA
469,NA,NA,NA,NA,NA,NA,NA,NA,469,NA,Zapf Property,40.188585,-105.204325,NA,NA,NA,NA,NA
470,NA,NA,NA,NA,NA,NA,NA,NA,470,NA,Zapf Property,40.188585,-105.204325,NA,NA,NA,NA,NA
471,Malus,domestica,Delicious,"Cervena prevazhodna, Delicious rosso, Hawkeye, Piros Delicious, Stark Delicious",NA,dessert,United States,2947,471,NA,Zapf Property,40.188585,-105.204325,NA,NA,NA,NA,NA
472,Malus,domestica,Imperial Stayman,NA,NA,NA,United States,3002,472,NA,Zapf Property,40.188585,-105.204325,NA,NA,NA,NA,NA
473,Malus,domestica,Golden Delicious,NA,NA,NA,NA,3026,473,NA,Zapf Property,40.188585,-105.204325,NA,NA,NA,NA,NA
474,NA,NA,UNK_MT4_Clon (Montana),NA,C,NA,NA,NA,474,NA,Zapf Property,40.188585,-105.204325,NA,NA,NA,NA,NA
475,Malus,domestica,Jonathan,"Esopus Spitzenberg, King Philip, Philip Rick, Ulster Seedling",U,"dessert, cider",United States,3023,475,private ,4390 Ludlow St,39.9753226,-105.2444503,30,32,24.5,1,101-1000
476,Malus,domestica,Golden Delicious,NA,NA,NA,NA,3026,476,private ,2855 Vassar Dr,39.9855348,-105.2578563,30,27,10.125,1,101-1000
